provinsi,kelompok_umur,tahun,nilai_aps
ACEH,13-15,2025,97.65
ACEH,16-18,2025,80.94
ACEH,19-23,2025,34.95
ACEH,7-12,2025,99.38
BALI,13-15,2025,98.88
BALI,16-18,2025,90.68
BALI,19-23,2025,34.32
BALI,7-12,2025,99.57
BANTEN,13-15,2025,97.11
BANTEN,16-18,2025,73.84
BANTEN,19-23,2025,24.45
BANTEN,7-12,2025,99.52
BENGKULU,13-15,2025,97.01
BENGKULU,16-18,2025,80.48
BENGKULU,19-23,2025,34.18
BENGKULU,7-12,2025,99.29
DI YOGYAKARTA,13-15,2025,99.6
DI YOGYAKARTA,16-18,2025,93.03
DI YOGYAKARTA,19-23,2025,54.72
DI YOGYAKARTA,7-12,2025,99.61
DKI JAKARTA,13-15,2025,98.74
DKI JAKARTA,16-18,2025,88.22
DKI JAKARTA,19-23,2025,34.21
DKI JAKARTA,7-12,2025,99.32
GORONTALO,13-15,2025,92.35
GORONTALO,16-18,2025,72.0
GORONTALO,19-23,2025,35.02
GORONTALO,7-12,2025,98.85
JAMBI,13-15,2025,95.59
JAMBI,16-18,2025,74.39
JAMBI,19-23,2025,25.23
JAMBI,7-12,2025,99.45
JAWA BARAT,13-15,2025,96.58
JAWA BARAT,16-18,2025,75.8
JAWA BARAT,19-23,2025,27.98
JAWA BARAT,7-12,2025,99.5
JAWA TENGAH,13-15,2025,97.05
JAWA TENGAH,16-18,2025,77.97
JAWA TENGAH,19-23,2025,27.44
JAWA TENGAH,7-12,2025,99.54
JAWA TIMUR,13-15,2025,97.15
JAWA TIMUR,16-18,2025,80.96
JAWA TIMUR,19-23,2025,28.9
JAWA TIMUR,7-12,2025,99.28
KALIMANTAN BARAT,13-15,2025,94.36
KALIMANTAN BARAT,16-18,2025,70.95
KALIMANTAN BARAT,19-23,2025,26.84
KALIMANTAN BARAT,7-12,2025,98.95
KALIMANTAN SELATAN,13-15,2025,93.82
KALIMANTAN SELATAN,16-18,2025,75.16
KALIMANTAN SELATAN,19-23,2025,30.91
KALIMANTAN SELATAN,7-12,2025,99.14
KALIMANTAN TENGAH,13-15,2025,95.74
KALIMANTAN TENGAH,16-18,2025,70.76
KALIMANTAN TENGAH,19-23,2025,24.91
KALIMANTAN TENGAH,7-12,2025,99.45
KALIMANTAN TIMUR,13-15,2025,97.34
KALIMANTAN TIMUR,16-18,2025,84.15
KALIMANTAN TIMUR,19-23,2025,33.15
KALIMANTAN TIMUR,7-12,2025,99.64
KALIMANTAN UTARA,13-15,2025,95.96
KALIMANTAN UTARA,16-18,2025,81.93
KALIMANTAN UTARA,19-23,2025,29.25
KALIMANTAN UTARA,7-12,2025,99.14
KEP. BANGKA BELITUNG,13-15,2025,92.9
KEP. BANGKA BELITUNG,16-18,2025,76.03
KEP. BANGKA BELITUNG,19-23,2025,21.13
KEP. BANGKA BELITUNG,7-12,2025,99.49
KEP. RIAU,13-15,2025,98.6
KEP. RIAU,16-18,2025,88.24
KEP. RIAU,19-23,2025,26.61
KEP. RIAU,7-12,2025,99.71
LAMPUNG,13-15,2025,95.72
